,title,genre,rating,rating_count,anger_0,anticipation_0,disgust_0,fear_0,joy_0,sadness_0,surprise_0,trust_0,anger_1,anticipation_1,disgust_1,fear_1,joy_1,sadness_1,surprise_1,trust_1,anger_2,anticipation_2,disgust_2,fear_2,joy_2,sadness_2,surprise_2,trust_2,anger_3,anticipation_3,disgust_3,fear_3,joy_3,sadness_3,surprise_3,trust_3,anger_4,anticipation_4,disgust_4,fear_4,joy_4,sadness_4,surprise_4,trust_4,anger_5,anticipation_5,disgust_5,fear_5,joy_5,sadness_5,surprise_5,trust_5,anger_6,anticipation_6,disgust_6,fear_6,joy_6,sadness_6,surprise_6,trust_6,anger_7,anticipation_7,disgust_7,fear_7,joy_7,sadness_7,surprise_7,trust_7,anger_8,anticipation_8,disgust_8,fear_8,joy_8,sadness_8,surprise_8,trust_8,anger_9,anticipation_9,disgust_9,fear_9,joy_9,sadness_9,surprise_9,trust_9
0,The White Feather,School Stories,3.96,125,0.0771000012755394,0.18490000069141388,0.06679999828338623,0.11990000307559967,0.1404000073671341,0.10270000249147415,0.08560000360012054,0.22259999811649323,0.1265999972820282,0.17249999940395355,0.07440000027418137,0.1281999945640564,0.10279999673366547,0.1281999945640564,0.10279999673366547,0.16459999978542328,0.14010000228881836,0.1695999950170517,0.065700002014637,0.13670000433921814,0.09520000219345093,0.09690000116825104,0.09690000116825104,0.19900000095367432,0.11659999936819077,0.1835000067949295,0.04969999939203262,0.10809999704360962,0.1371999979019165,0.09950000047683716,0.09260000288486481,0.2126999944448471,0.1469999998807907,0.20059999823570251,0.07199999690055847,0.133200004696846,0.09650000184774399,0.08879999816417694,0.0812000036239624,0.18070000410079956,0.08299999684095383,0.18230000138282776,0.08479999750852585,0.11909999698400497,0.1137000024318695,0.12999999523162842,0.09030000120401382,0.19679999351501465,0.1031000018119812,0.16429999470710754,0.07800000160932541,0.12950000166893005,0.11420000344514847,0.12399999797344208,0.093299999833107,0.19359999895095825,0.10180000215768814,0.188400000333786,0.053199999034404755,0.09730000048875809,0.12919999659061432,0.11699999868869781,0.13369999825954437,0.179299995303154,0.1347000002861023,0.17569999396800995,0.05999999865889549,0.1273999959230423,0.09960000216960907,0.09080000221729279,0.09520000219345093,0.2167000025510788,0.11129999905824661,0.15150000154972076,0.06930000334978104,0.15150000154972076,0.10220000147819519,0.12039999663829803,0.07850000262260437,0.21529999375343323
1,463,Historical Fiction,4.67,39,0.1420000046491623,0.18299999833106995,0.054499998688697815,0.14659999310970306,0.12610000371932983,0.11479999870061874,0.08980000019073486,0.14319999516010284,0.15299999713897705,0.1573999971151352,0.05649999901652336,0.1817999929189682,0.11309999972581863,0.1152999997138977,0.1152999997138977,0.10750000178813934,0.1882999986410141,0.12890000641345978,0.07620000094175339,0.1995999962091446,0.08630000054836273,0.10989999771118164,0.09640000015497208,0.11429999768733978,0.16779999434947968,0.12759999930858612,0.08240000158548355,0.1818999946117401,0.10649999976158142,0.11659999936819077,0.09350000321865082,0.12359999865293503,0.15600000321865082,0.148499995470047,0.07419999688863754,0.1597999930381775,0.10999999940395355,0.14000000059604645,0.10620000213384628,0.10530000180006027,0.15049999952316284,0.14190000295639038,0.06340000033378601,0.1720000058412552,0.12470000237226486,0.13660000264644623,0.09679999947547913,0.11400000005960464,0.1606999933719635,0.13490000367164612,0.06589999794960022,0.14830000698566437,0.13899999856948853,0.10400000214576721,0.1071000024676323,0.14010000228881836,0.1809999942779541,0.12250000238418579,0.08309999853372574,0.1949000060558319,0.09269999712705612,0.0989999994635582,0.10440000146627426,0.12250000238418579,0.16130000352859497,0.13429999351501465,0.07919999957084656,0.1793999969959259,0.10719999670982361,0.10119999945163727,0.09120000153779984,0.14630000293254852,0.1624000072479248,0.1225999966263771,0.07970000058412552,0.20430000126361847,0.09300000220537186,0.14810000360012054,0.09809999912977219,0.09189999848604202
2,The Young Buglers,Children's Fiction,4.12,91,0.11029999703168869,0.15150000154972076,0.05220000073313713,0.14380000531673431,0.10700000077486038,0.1160999983549118,0.1005999967455864,0.21860000491142273,0.09470000118017197,0.18080000579357147,0.058400001376867294,0.1216999962925911,0.12030000239610672,0.09679999947547913,0.10180000215768814,0.225600004196167,0.06310000270605087,0.21220000088214874,0.030400000512599945,0.10490000247955322,0.156700000166893,0.09200000017881393,0.12780000269412994,0.21289999783039093,0.13330000638961792,0.1185000017285347,0.059300001710653305,0.19189999997615814,0.09160000085830688,0.11779999732971191,0.0746999979019165,0.21279999613761902,0.10339999943971634,0.14970000088214874,0.06069999933242798,0.15449999272823334,0.11789999902248383,0.12409999966621399,0.09449999779462814,0.19519999623298645,0.12449999898672104,0.14100000262260437,0.04989999905228615,0.19280000030994415,0.1200999990105629,0.11760000139474869,0.08720000088214874,0.16689999401569366,0.15410000085830688,0.13230000436306,0.06549999862909317,0.17960000038146973,0.09099999815225601,0.12139999866485596,0.07829999923706055,0.1777999997138977,0.15639999508857727,0.12049999833106995,0.07169999927282333,0.20020000636577606,0.07909999787807465,0.1371999979019165,0.07540000230073929,0.15950000286102295,0.10180000215768814,0.15970000624656677,0.07129999995231628,0.16130000352859497,0.09080000221729279,0.12919999659061432,0.0877000018954277,0.1981000006198883,0.1518000066280365,0.11429999768733978,0.07150000333786011,0.1940000057220459,0.08150000125169754,0.13359999656677246,0.07500000298023224,0.17820000648498535
3,The Children's Pilgrimage,Children's Fiction,4.23,13,0.08410000056028366,0.18950000405311584,0.06419999897480011,0.09960000216960907,0.1784999966621399,0.12460000067949295,0.0738999992609024,0.18559999763965607,0.1023000031709671,0.17710000276565552,0.08020000159740448,0.10159999877214432,0.17980000376701355,0.11100000143051147,0.06750000268220901,0.18050000071525574,0.09960000216960907,0.17910000681877136,0.0722000002861023,0.10159999877214432,0.16580000519752502,0.10700000077486038,0.09560000151395798,0.17910000681877136,0.08510000258684158,0.18230000138282776,0.05939999967813492,0.08839999884366989,0.18230000138282776,0.10679999738931656,0.08669999986886978,0.20880000293254852,0.07119999825954437,0.17069999873638153,0.06920000165700912,0.09030000120401382,0.19449999928474426,0.12060000002384186,0.07320000231266022,0.2102999985218048,0.07829999923706055,0.15049999952316284,0.06920000165700912,0.10159999877214432,0.1738000065088272,0.1339000016450882,0.09099999815225601,0.20170000195503235,0.08389999717473984,0.1809999942779541,0.060600001364946365,0.1014999970793724,0.17080000042915344,0.09489999711513519,0.09560000151395798,0.21170000731945038,0.09000000357627869,0.17630000412464142,0.06459999829530716,0.11469999700784683,0.1501999944448471,0.14509999752044678,0.08489999920129776,0.17419999837875366,0.10209999978542328,0.16750000417232513,0.08370000123977661,0.12189999967813492,0.13609999418258667,0.16750000417232513,0.06469999998807907,0.1565999984741211,0.07940000295639038,0.17030000686645508,0.06930000334978104,0.08889999985694885,0.19249999523162842,0.14419999718666077,0.08510000258684158,0.17030000686645508
4,A Houseful of Girls,Children's Fiction,3.33,12,0.0812000036239624,0.1703999936580658,0.05460000038146973,0.10279999673366547,0.16099999845027924,0.11860000342130661,0.08550000190734863,0.2257000058889389,0.0877000018954277,0.16760000586509705,0.057500001043081284,0.11490000039339066,0.13609999418258667,0.14219999313354492,0.06530000269412994,0.22869999706745148,0.06620000302791595,0.17669999599456787,0.056299999356269836,0.10189999639987946,0.16349999606609344,0.12770000100135803,0.08799999952316284,0.21969999372959137,0.11400000005960464,0.13449999690055847,0.07819999754428864,0.15060000121593475,0.12280000001192093,0.13670000433921814,0.07159999758005142,0.1914999932050705,0.09369999915361404,0.1527000069618225,0.06729999929666519,0.11940000206232071,0.15150000154972076,0.1256999969482422,0.09179999679327011,0.1979999989271164,0.08219999819993973,0.15649999678134918,0.05700000002980232,0.11900000274181366,0.15649999678134918,0.1282999962568283,0.08070000261068344,0.2198999971151352,0.08959999680519104,0.16590000689029694,0.06310000270605087,0.10899999737739563,0.15889999270439148,0.10509999841451645,0.094200000166893,0.2142000049352646,0.08510000258684158,0.16110000014305115,0.06210000067949295,0.12759999930858612,0.1437000036239624,0.14090000092983246,0.07599999755620956,0.20360000431537628,0.08590000122785568,0.17309999465942383,0.05350000038743019,0.11680000275373459,0.15620000660419464,0.12240000069141388,0.08370000123977661,0.20829999446868896,0.07890000194311142,0.18209999799728394,0.0478999987244606,0.09839999675750732,0.16990000009536743,0.1152999997138977,0.09239999949932098,0.2151000052690506
5,Orange and Green;  A Tale of the Boyne and Limerick,Children's Fiction,3.59,160,0.10170000046491623,0.14489999413490295,0.09560000151395798,0.14190000295639038,0.11990000307559967,0.11230000108480453,0.06679999828338623,0.21699999272823334,0.10279999673366547,0.15970000624656677,0.07100000232458115,0.1501999944448471,0.12039999663829803,0.10350000113248825,0.06499999761581421,0.2273000031709671,0.1096000000834465,0.12950000166893005,0.12600000202655792,0.14730000495910645,0.11029999703168869,0.1266999989748001,0.05909999832510948,0.1914999932050705,0.13750000298023224,0.14499999582767487,0.06270000338554382,0.17299999296665192,0.10050000250339508,0.12240000069141388,0.06270000338554382,0.1964000016450882,0.1451999992132187,0.13830000162124634,0.052799999713897705,0.18490000069141388,0.09589999914169312,0.12020000070333481,0.06120000034570694,0.20149999856948853,0.1273999959230423,0.1680999994277954,0.0568000003695488,0.16580000519752502,0.10899999737739563,0.11900000274181366,0.0843999981880188,0.1695999950170517,0.14350000023841858,0.1404999941587448,0.05829999968409538,0.20399999618530273,0.09489999711513519,0.12929999828338623,0.06729999929666519,0.16220000386238098,0.13079999387264252,0.17419999837875366,0.05040000006556511,0.17970000207424164,0.08829999715089798,0.10320000350475311,0.07090000063180923,0.20250000059604645,0.15940000116825104,0.12710000574588776,0.07779999822378159,0.19349999725818634,0.07270000129938126,0.1145000010728836,0.06769999861717224,0.18719999492168427,0.1316000074148178,0.15060000121593475,0.06989999860525131,0.13979999721050262,0.11129999905824661,0.10580000281333923,0.05770000070333481,0.23340000212192535
6,The Queen's Cup,Children's Fiction,3.64,75,0.1039000004529953,0.19339999556541443,0.06310000270605087,0.1290999948978424,0.11890000104904175,0.1039000004529953,0.09430000185966492,0.19339999556541443,0.14249999821186066,0.14190000295639038,0.05530000105500221,0.18070000410079956,0.09350000321865082,0.11900000274181366,0.0851999968290329,0.1818999946117401,0.06520000100135803,0.21320000290870667,0.037700001150369644,0.08739999681711197,0.16269999742507935,0.08609999716281891,0.10220000147819519,0.24549999833106995,0.07850000262260437,0.2021999955177307,0.05350000038743019,0.11259999871253967,0.1396999955177307,0.09099999815225601,0.10490000247955322,0.2175000011920929,0.07370000332593918,0.193900004029274,0.05209999904036522,0.1054999977350235,0.14429999887943268,0.11949999630451202,0.08959999680519104,0.22120000422000885,0.07500000298023224,0.22139999270439148,0.03840000182390213,0.1298999935388565,0.10289999842643738,0.1054999977350235,0.08020000159740448,0.2467000037431717,0.08229999989271164,0.20499999821186066,0.038600001484155655,0.10719999670982361,0.10809999704360962,0.10289999842643738,0.0908999964594841,0.26499998569488525,0.12129999697208405,0.19020000100135803,0.04129999876022339,0.14630000293254852,0.07490000128746033,0.11270000040531158,0.07660000026226044,0.23669999837875366,0.11779999732971191,0.1615999937057495,0.05790000036358833,0.17640000581741333,0.09229999780654907,0.11379999667406082,0.08150000125169754,0.19869999587535858,0.08810000121593475,0.2084999978542328,0.04580000042915344,0.10760000348091125,0.11860000342130661,0.08049999922513962,0.07289999723434448,0.27799999713897705
7,Gladiator,Science Fiction,4.2,1,0.10750000178813934,0.1476999968290329,0.0925000011920929,0.14579999446868896,0.14300000667572021,0.12800000607967377,0.05889999866485596,0.17659999430179596,0.09139999747276306,0.1404000073671341,0.08489999920129776,0.1453000009059906,0.1306000053882599,0.1445000022649765,0.07999999821186066,0.18289999663829803,0.12409999966621399,0.15860000252723694,0.07180000096559525,0.14270000159740448,0.13429999351501465,0.10540000349283218,0.09610000252723694,0.16699999570846558,0.09489999711513519,0.15850000083446503,0.07880000025033951,0.11020000278949738,0.17030000686645508,0.12030000239610672,0.09749999642372131,0.16949999332427979,0.12530000507831573,0.14669999480247498,0.08330000191926956,0.14589999616146088,0.12610000371932983,0.12370000034570694,0.09600000083446503,0.15309999883174896,0.15760000050067902,0.11240000277757645,0.08089999854564667,0.19930000603199005,0.10220000147819519,0.12439999729394913,0.07329999655485153,0.14990000426769257,0.12540000677108765,0.14000000059604645,0.0877000018954277,0.17229999601840973,0.10459999740123749,0.13539999723434448,0.07999999821186066,0.15459999442100525,0.11410000175237656,0.15440000593662262,0.08649999648332596,0.13179999589920044,0.11900000274181366,0.120899997651577,0.08460000157356262,0.18880000710487366,0.11569999903440475,0.15610000491142273,0.061500001698732376,0.14509999752044678,0.12120000272989273,0.14329999685287476,0.06889999657869339,0.1881999969482422,0.12030000239610672,0.15049999952316284,0.0689999982714653,0.14380000531673431,0.12950000166893005,0.12030000239610672,0.0925000011920929,0.17409999668598175
8,Doomsday Eve,Science Fiction,3.45,11,0.11999999731779099,0.1599999964237213,0.06830000132322311,0.18330000340938568,0.0917000025510788,0.10999999940395355,0.0632999986410141,0.20329999923706055,0.1168999969959259,0.12770000100135803,0.08089999854564667,0.18529999256134033,0.08269999921321869,0.12229999899864197,0.06289999932050705,0.22120000422000885,0.11949999630451202,0.10440000146627426,0.049300000071525574,0.22769999504089355,0.08160000294446945,0.12710000574588776,0.07209999859333038,0.21819999814033508,0.16089999675750732,0.12399999797344208,0.06400000303983688,0.16859999299049377,0.08529999852180481,0.11630000174045563,0.07559999823570251,0.2054000049829483,0.12280000001192093,0.1316000074148178,0.09300000220537186,0.17720000445842743,0.1088000014424324,0.10700000077486038,0.09650000184774399,0.1632000058889389,0.125,0.1388999968767166,0.06080000102519989,0.18400000035762787,0.10239999741315842,0.11460000276565552,0.07639999687671661,0.19789999723434448,0.15880000591278076,0.12370000034570694,0.06719999760389328,0.19539999961853027,0.06719999760389328,0.13130000233650208,0.10689999908208847,0.14959999918937683,0.1378999948501587,0.10939999669790268,0.05389999970793724,0.2029000073671341,0.08079999685287476,0.1315000057220459,0.07769999653100967,0.20600000023841858,0.17239999771118164,0.1412000060081482,0.0706000030040741,0.18719999492168427,0.057500001043081284,0.1412000060081482,0.08540000021457672,0.1445000022649765,0.1525000035762787,0.1509999930858612,0.052299998700618744,0.17640000581741333,0.1031000018119812,0.12860000133514404,0.08820000290870667,0.14800000190734863
9,The Secret of the Ninth Planet,Science Fiction,3.15,150,0.09449999779462814,0.19370000064373016,0.056699998676776886,0.1307000070810318,0.1071000024676323,0.09449999779462814,0.08500000089406967,0.2378000020980835,0.08330000191926956,0.21240000426769257,0.03759999945759773,0.1324000060558319,0.10289999842643738,0.06539999693632126,0.10949999839067459,0.2565000057220459,0.08709999918937683,0.2020999938249588,0.06620000302791595,0.14110000431537628,0.10980000346899033,0.1307000070810318,0.0957999974489212,0.1671999990940094,0.09730000048875809,0.22759999334812164,0.04399999976158142,0.12399999797344208,0.10360000282526016,0.08789999783039093,0.11620000004768372,0.19939999282360077,0.09780000150203705,0.17910000681877136,0.09120000153779984,0.13930000364780426,0.09619999676942825,0.1128000020980835,0.10779999941587448,0.17579999566078186,0.11800000071525574,0.1412000060081482,0.07540000230073929,0.17790000140666962,0.08320000022649765,0.13349999487400055,0.08900000154972076,0.1817999929189682,0.1324000060558319,0.16830000281333923,0.05719999969005585,0.17970000207424164,0.06539999693632126,0.11270000040531158,0.1257999986410141,0.15850000083446503,0.13860000669956207,0.16689999401569366,0.05810000002384186,0.16689999401569366,0.0908999964594841,0.1281999945640564,0.09239999949932098,0.15800000727176666,0.10300000011920929,0.15559999644756317,0.05249999836087227,0.13940000534057617,0.1071000024676323,0.13940000534057617,0.09489999711513519,0.20810000598430634,0.15049999952316284,0.15049999952316284,0.06270000338554382,0.19589999318122864,0.08309999853372574,0.12229999899864197,0.08150000125169754,0.15360000729560852
